variant,age,sex,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
migration_category,15,2,326.43,315.462,303.511,295.58299999999997,285.60699999999997,271.55600000000004,255.51800000000006,242.50799999999998,233.50099999999998,222.502,209.47199999999998,198.46099999999998,188.43900000000002,177.40000000000003,169.36399999999998,162.351,158.33599999999998,158.368,159.399,158.41700000000003,158.469,158.512,158.546,158.55800000000002
migration_category,16,2,838.6899999999998,828.851,813.077,782.2249999999999,759.264,735.2310000000002,699.156,657.046,623.005,601.0419999999999,574.0459999999999,539.9679999999998,510.881,484.805,456.69900000000007,443.676,435.695,424.66100000000006,425.7439999999999,426.836,425.952,426.049,425.136,425.20200000000006
migration_category,17,2,1978.709,1867.676,1859.295,1818.784,1748.825,1697.7819999999997,1644.7540000000001,1563.626,1468.4639999999997,1394.3909999999998,1344.445,1283.442,1207.1909999999998,1141.9830000000002,1085.8190000000002,1043.651,1034.739,1015.758,990.705,992.8969999999998,995.2089999999998,994.461,992.624,991.779
migration_category,18,2,3872.007,3685.1240000000003,3601.001,3567.204999999999,3484.557,3350.2980000000002,3254.307,3152.4110000000005,2996.3140000000008,2815.9590000000003,2674.8,2577.9649999999997,2461.7370000000005,2316.205,2191.7969999999996,2124.63,2086.612,2068.83,2030.837,1981.769,1987.3980000000001,1991.9569999999999,1989.305,1985.6
migration_category,19,2,6559.834,6481.084,6268.335999999999,6070.670000000001,6000.682,5859.7609999999995,5635.431,5474.706999999999,5302.152000000001,5041.915999999999,4740.3060000000005,4503.13,4339.037,4144.586999999999,3901.665,3768.298,3730.489,3665.5829999999996,3634.9120000000003,3568.9860000000003,3486.275,3494.239,3501.9819999999995,3497.5010000000007
migration_category,20,2,8743.420000000002,8923.451000000001,8921.617999999999,8721.953,8606.312999999998,8723.251,8785.112000000001,8715.658000000001,8730.249000000003,8717.661,8551.104,8296.030999999999,8127.884999999999,8076.488999999998,7956.588000000001,7728.170000000001,7544.696999999999,7396.731000000002,7198.205,7069.35,6874.643000000002,6652.3,6600.044,6548.621999999999
migration_category,21,2,10777.365,10631.382999999998,10694.472,10593.033,10338.035000000002,10254.067,10451.996,10529.833,10449.304999999998,10463.422999999999,10447.434999999998,10250.434,9946.74,9747.631000000001,9685.640999999998,9541.216000000002,9271.273000000001,9052.999,8876.925000000001,8641.444,8489.581,8258.565000000002,7993.555000000001,7931.2570000000005
migration_category,22,2,13361.721000000001,13193.269999999997,13147.735,13077.394,12921.535000000002,12682.043000000001,12660.106000000003,12911.488999999998,13008.793999999998,12907.878000000002,12923.831,12902.936999999998,12660.404999999999,12289.624000000002,12046.793000000001,11967.354,11790.526,11459.752999999999,11193.259000000002,10977.380000000003,10690.958999999999,10503.928999999998,10220.167999999998,9896.653
migration_category,23,2,15941.046000000002,15897.819,15705.518,15413.982000000002,15280.788000000002,15185.480999999998,15012.054,15008.409999999994,15303.570000000002,15413.740999999998,15294.503000000002,15309.635,15281.359,14996.886999999999,14564.237,14277.526,14182.721,13974.419999999998,13587.272000000003,13275.984,13023.55,12687.703,12466.946999999998,12134.748
migration_category,24,2,18925.169,18458.718999999997,17989.936,17497.198,17113.065,17068.314,17100.439,16944.329999999998,16949.182999999997,17275.271999999997,17397.285000000003,17263.008,17276.551000000003,17242.549,16923.382,16438.478,16116.030999999999,16007.920999999998,15773.459,15341.506,14993.788000000002,14709.949,14332.059000000001,14083.988
migration_category,25,2,22434.578,22231.243,21967.84,21349.929999999997,20911.386000000002,20685.149999999998,20801.406,20884.577999999998,20707.405000000002,20711.42,21133.540000000005,21333.991,21221.599,21291.372000000003,21301.928,20960.006,20412.301000000003,20063.876999999997,19979.393000000004,19737.891000000003,19250.185999999998,18861.443000000003,18550.985999999997,18121.824
migration_category,26,2,26242.314,26021.858999999997,25805.017000000003,25205.693000000003,24437.175000000003,23957.993000000002,23750.892000000003,23919.277,24021.741,23817.307999999997,23848.625000000004,24358.238999999998,24583.194000000003,24452.232,24529.117,24537.719,24145.827,23520.667999999998,23121.972999999998,23024.366,22749.585000000003,22191.117000000006,21744.986999999997,21390.070000000007
migration_category,27,2,29453.437000000005,29926.984,30068.336,29497.805000000004,28751.391999999996,27899.700999999994,27402.557999999994,27200.469,27395.462999999996,27507.146,27307.952000000005,27375.416,27945.801000000003,28195.667999999998,28045.677,28128.512,28132.486999999997,27688.584999999995,26978.832999999995,26525.737000000005,26415.508,26101.315000000006,25465.079,24958.286000000004
migration_category,28,2,33388.72,33314.722,33551.749,33362.595,32665.357999999997,31862.534,30972.742999999995,30458.526,30243.823999999997,30451.968,30608.141,30424.868000000002,30493.191,31114.604,31386.798000000003,31216.161,31301.228,31303.738999999998,30813.482000000004,30032.161999999997,29536.411,29411.81,29060.961,28360.85
migration_category,29,2,36548.589,36459.321,35961.801999999996,35867.106,35593.80400000001,34870.848999999995,34065.08500000001,33156.138,32620.110999999997,32387.996999999992,32644.472999999994,32848.697,32648.607,32717.190999999995,33370.899,33651.36600000001,33466.511,33555.15,33553.547999999995,33032.044,32207.134000000002,31678.384,31541.027999999995,31167.552000000007
migration_category,30,2,38869.796,39223.161,39487.424,39105.51999999999,39421.282999999996,39679.552,39513.39599999999,39228.506,38780.804,38734.715000000004,39042.434,39889.514,40633.422999999995,40894.474,41491.83299999999,42782.169999999984,43564.754,43763.088,44313.99000000001,44755.117,44458.51800000001,43684.57899999999,43295.074,43430.577000000005
migration_category,31,2,41137.774,41243.548,41446.223,41398.866,40936.784999999996,41332.064,41697.348,41561.897,41279.89,40816.73300000001,40773.593,41096.38799999999,41977.65,42753.093,43027.283,43593.92600000001,44876.83200000001,45690.706999999995,45896.903000000006,46470.48499999999,46875.916000000005,46509.475,45707.494,45304.062000000005
migration_category,32,2,41255.295,41698.659999999996,41659.281,41572.804000000004,41464.766,41071.573,41559.53999999999,41957.326,41835.47,41556.69300000001,41099.903999999995,41060.114,41381.1,42261.234,43036.37,43255.111999999994,43763.43899999999,45041.102,45850.483,46056.792,46574.12100000001,46917.366,46551.662000000004,45756.516
migration_category,33,2,39428.25400000001,40398.61600000001,40829.130999999994,40544.253999999986,40406.812999999995,40366.51,40075.740999999995,40577.828,40974.937999999995,40859.02,40592.335,40152.441999999995,40113.429,40426.805,41280.109,41978.518,42136.698000000004,42630.33500000001,43863.042,44646.136999999995,44795.666999999994,45237.374,45565.10400000001,45212.135
migration_category,34,2,36667.121999999996,37007.871999999996,37676.36,37867.863000000005,37560.833000000006,37491.937,37533.65,37290.59100000001,37764.253,38132.669000000016,38027.30300000001,37784.023,37376.60199999999,37342.565,37633.497,38373.58200000001,38967.941,39116.05300000001,39571.374,40708.86100000001,41383.066999999995,41467.496999999996,41870.249,42171.148
migration_category,35,2,32987.965,33384.034999999996,33839.182,34363.999,34586.147,34401.148,34407.117,34466.202000000005,34252.630000000005,34686.469000000005,35024.187,34930.018,34707.279,34336.94599999999,34308.519,34615.374,35422.020000000004,36149.490999999995,36467.125,37074.275,38326.776000000005,39199.94,39570.937,40252.19699999999
migration_category,36,2,28015.104000000003,28821.842999999997,29416.064000000002,29685.803,30115.042,30315.622,30175.016000000003,30196.907999999996,30254.880999999998,30070.387000000002,30450.033,30746.245000000003,30663.49899999999,30469.52500000001,30148.740999999998,30159.389000000006,30466.17,31174.613,31811.250999999997,32092.623000000003,32628.014000000003,33724.843,34486.603,34811.519
migration_category,37,2,23063.355999999996,23421.779000000002,24201.998,24602.442,24805.251000000004,25166.969,25349.382999999998,25244.409,25268.756999999994,25318.416999999998,25165.907000000007,25483.506,25728.907000000003,25660.73,25500.015,25263.752999999997,25304.626,25562.257000000005,26154.595999999998,26688.188,26926.258000000005,27373.419,28287.443000000003,28923.399000000005
migration_category,38,2,18236.125,18446.674999999996,18889.445999999996,19447.700999999997,19750.855999999996,19916.711999999996,20217.932,20373.442,20292.72,20312.722,20354.066,20232.885000000002,20487,20683.596999999998,20629.460000000003,20525.401,20360.879,20395.748,20602.861,21078.918,21510.105,21702.462000000003,22060.033999999996,22793.929999999997
migration_category,39,2,14410.33,14611.864,15080.398999999998,15391.849999999999,15832.864999999998,16081.628999999997,16225.244999999999,16476.457,16604.969999999998,16540.322,16557.392,16592.09,16492.592,16699.273,16858.847999999998,16835.781,16771.571,16639.385,16667.310000000005,16837.907,17227.470999999998,17579.242000000002,17734.068000000003,18025.879999999997
migration_category,40,2,10503.169,10461.586,10975.885000000002,11519.027,11981.260999999999,12570.406,13027.272,13409.561000000002,13889.459,14277.092000000002,14541.229,14918.76,15320.657999999998,15609.718,16197.49,16758.119,17129.612,17447.336,17696.346,18123.427000000003,18719.285,19579.271999999997,20422.134000000002,21062.838000000003
migration_category,41,2,7434.67,7559.101,7835.172999999999,8198.141,8597.250999999998,8942.516000000001,9385.672999999999,9729.911,10016.520999999999,10374.814999999999,10690.150000000001,10915.320000000002,11198.260999999999,11500.400000000001,11717.118,12157.951999999997,12578.187000000002,12857.783000000001,13095.962000000001,13285.059000000001,13606.957999999999,14053.720999999998,14697.619,15330.264000000001
migration_category,42,2,4870.414,4912.822,5059.284,5231.151,5469.699,5735.036,5968.402,6265.569000000001,6495.837,6687.009999999999,6943.820000000001,7171.766,7322.7609999999995,7513.0470000000005,7715.634999999999,7861.257999999998,8155.8420000000015,8438.711000000003,8625.719,8786.748,8914.519999999999,9130.87,9430.507,9861.311999999998
migration_category,43,2,2836.46,2898.4630000000006,2968.8480000000004,3050.421,3151.6820000000002,3295.9740000000006,3457.5160000000005,3598.156,3778.335,3917.372,4042.4219999999996,4206.952,4345.092,4436.887,4551.953,4674.810999999999,4763.202,4941.585999999999,5112.876,5226.843000000001,5325.2880000000005,5402.402999999999,5533.699,5714.388
migration_category,44,2,1641.216,1725.0229999999997,1815.082,1854.984,1905.6859999999997,1969.349,2059.2200000000003,2161.308,2249.4850000000006,2361.895,2454.24,2539.698,2643.1229999999996,2729.457,2786.6299999999997,2858.7439999999992,2935.7769999999996,2991.784,3104.2570000000005,3211.794999999999,3283.39,3344.8199999999997,3393.937999999999,3476.2970000000005
